MZ190137.1	Rhinolophus Ferrumequinum (Bat)
OK017830.1	Rhinolophus sinicus (Bat)
AY545915.1	Paguma larvata (Himalayan palm civets)
AY545917.1	Paguma larvata (Himalayan palm civets)
DQ022305.2	Bat
OK017836.1	Rhinolophus sinicus (Bat)
OQ297702.1	Rhinolophus sinicus (Bat)
OK017837.1	Rhinolophus sinicus (Bat)
OK017841.1	Rhinolophus sinicus (Bat)
KF569996.1	Rhinolophus affinis (Bat)
OQ503501.1	Rhinolophus sinicus (Bat)
LC556375.1	Rhinolophus cornutus (Bat)
MN514967.1	Camelus dromedarius (Camel)
OK017812.1	Rhinolophus sinicus (Bat)
ON378802.1	Rhinolophus Ferrumequinum (Bat)
OQ503502.1	Rhinolophus sinicus (Bat)
PQ611137.1	Rhinolophus hipposideros (Bat)
MW681002.1	Rhinolophus sinicus (Bat)
OK017823.1	Rhinolophus sinicus (Bat)
OR233297.1	Rhinolophus thomasi (Bat)
OP776340.1	Rhinolophus hipposideros (Bat)
OR233293.1	Rhinolophus thomasi (Bat)
JX993987.1	Rhinolophus pusillus (Bat)
AY559089.1	Homo sapiens
KJ473815.1	Rhinolophus sinicus (Bat)
MW532698.1	pangolin
OP776338.1	Rhinolophus hipposideros (Bat)
OR261265.1	Rhinolophus siamensis (Bat)
KY770858.1	Rhinolophus sinicus (Bat)
MZ081376.1	Rhinolophus malayanus (Bat)
OK017839.1	Rhinolophus sinicus (Bat)
PQ577580.1	Rhinolophus sinicus (Bat)
OK017796.1	Rhinolophus Ferrumequinum (Bat)
OK017807.1	Rhinolophus sinicus (Bat)
OQ503505.1	Rhinolophus sinicus (Bat)
HG994860.1	Homo sapiens
KY417148.1	Rhinolophus sinicus (Bat)
KY417149.1	Rhinolophus sinicus (Bat)
OR233320.1	Rhinolophus thomasi (Bat)
DQ412042.1	Rhinolophus Ferrumequinum (Bat)
GQ153542.1	Bat
KJ473811.1	Rhinolophus Ferrumequinum (Bat)
MZ081377.1	Rhinolophus malayanus (Bat)
OQ503499.1	Rhinolophus sinicus (Bat)
OR233302.1	Rhinolophus pusillus (Bat)
AY572034.1	Civet
DQ640652.1	Homo sapiens
KY417152.1	Rhinolophus sinicus (Bat)
OK017824.1	Rhinolophus sinicus (Bat)
OK017858.1	Rhinolophus sinicus (Bat)
PQ577587.1	Rhinolophus sinicus (Bat)
KJ473812.1	Rhinolophus Ferrumequinum (Bat)
KY417143.1	Rhinolophus sinicus (Bat)
OK017802.1	Rhinolophus sp. (Bat)
AY559083.1	Homo sapiens
KJ473814.1	Rhinolophus sinicus (Bat)
OK017803.1	Rhinolophus pusillus (Bat)
OK017852.1	Rhinolophus sinicus (Bat)
OQ503506.1	Rhinolophus thomasi (Bat)
MK062183.1	Homo sapiens
OK017843.1	Rhinolophus sinicus (Bat)
OQ503497.1	Rhinolophus sinicus (Bat)
OR233291.1	Rhinolophus affinis (Bat)
AY545919.1	Chinese Ferret Badger (Melogale moschata)
OK017811.1	Rhinolophus sinicus (Bat)
OK017840.1	Rhinolophus sinicus (Bat)
AY278490.3	Homo sapiens
MW719567.1	Rhinolophus hipposideros (Bat)
OQ503503.1	Rhinolophus sinicus (Bat)
AY297028.1	Homo sapiens
OK017819.1	Rhinolophus sinicus (Bat)
OK017838.1	Rhinolophus sinicus (Bat)
OK017845.1	Rhinolophus sinicus (Bat)
OK017860.1	Rhinolophus siamensis (Bat)
AY394978.1	Homo sapiens
KY417146.1	Rhinolophus sinicus (Bat)
MK211377.1	Rhinolophus affinis (Bat)
DQ648857.1	Bat
OK017825.1	Rhinolophus sinicus (Bat)
OK017853.1	Rhinolophus sinicus (Bat)
OR233312.1	Rhinolophus thomasi (Bat)
NC_014470.1	Rhinolophus blasii (Bat)
MZ190138.1	Rhinolophus hipposideros (Bat)
OQ401248.1	Rhinolophus hipposideros (Bat)
MZ081382.1	Rhinolophus stheno (Bat)
OK017848.1	Rhinolophus sinicus (Bat)
OP776339.1	Rhinolophus hipposideros (Bat)
AY686864.1	Palm Civet
MZ081379.1	Rhinolophus sinicus (Bat)
OK017831.1	Rhinolophus sinicus (Bat)
OK017808.1	Rhinolophus sinicus (Bat)
